INFO_TIME,PROD,BUY_ORDER,BUY_QTY,SELL_ORDER,SELL_QTY
8300493,TXFH7,20,53,43,213
8300993,TXFH7,25,74,50,303
8301493,TXFH7,35,86,59,319
8301993,TXFH7,39,91,66,385
8302493,TXFH7,46,102,70,434
8302993,TXFH7,49,111,78,449
8303493,TXFH7,47,109,77,450
8303993,TXFH7,50,117,81,457
8304493,TXFH7,77,192,106,507
8304993,TXFH7,83,219,110,511
8305493,TXFH7,89,279,111,516
8305993,TXFH7,91,282,112,517
8310493,TXFH7,100,340,118,563
8310993,TXFH7,120,365,135,597
8311493,TXFH7,137,406,157,703
8311993,TXFH7,144,424,161,712
8312493,TXFH7,151,455,166,718
8312993,TXFH7,153,439,169,723
8313493,TXFH7,157,446,170,726
8313993,TXFH7,160,455,173,732
8314493,TXFH7,162,459,172,732
8314993,TXFH7,168,474,173,733
8315493,TXFH7,170,476,174,734
8315993,TXFH7,173,481,177,737
8320493,TXFH7,177,492,177,741
8320993,TXFH7,185,508,178,742
8321493,TXFH7,188,511,180,744
8321993,TXFH7,206,622,183,747
8322493,TXFH7,194,524,183,747
8322993,TXFH7,202,532,186,759
8323493,TXFH7,208,539,183,756
8323993,TXFH7,216,550,183,756
8324493,TXFH7,213,584,183,756
8324993,TXFH7,216,598,185,771
8325493,TXFH7,222,691,190,777
8325993,TXFH7,222,599,193,782
8330493,TXFH7,225,602,196,786
8330993,TXFH7,228,605,203,794
8331493,TXFH7,230,606,204,795
8331993,TXFH7,234,621,205,798
8332493,TXFH7,237,628,208,810
8332993,TXFH7,243,651,208,813
8333493,TXFH7,246,660,209,811
8333993,TXFH7,253,669,211,813
8334493,TXFH7,256,673,214,818
8334993,TXFH7,259,679,218,834
8335493,TXFH7,262,695,220,837
8335993,TXFH7,267,701,219,836
8340493,TXFH7,270,704,221,839
8340993,TXFH7,273,718,221,848
8341493,TXFH7,275,723,223,850
8341993,TXFH7,279,727,223,854
8342493,TXFH7,279,729,225,860
8342993,TXFH7,283,797,227,863
8343493,TXFH7,289,814,226,861
8343993,TXFH7,292,817,227,871
8344493,TXFH7,297,830,227,868
8344993,TXFH7,298,828,228,870
8345493,TXFH7,300,830,229,875
8345993,TXFH7,303,833,229,875
8350493,TXFH7,306,839,229,875
8350993,TXFH7,309,843,230,876
8351493,TXFH7,310,873,230,876
8351993,TXFH7,310,873,230,876
8352493,TXFH7,320,898,236,889
8352993,TXFH7,323,898,236,886
8353493,TXFH7,322,896,236,882
8353993,TXFH7,327,914,247,937
8354493,TXFH7,327,914,238,890
8354993,TXFH7,328,911,240,892
8355493,TXFH7,330,918,240,892
8355993,TXFH7,333,926,240,892
8360493,TXFH7,338,943,240,892
8360993,TXFH7,339,944,241,921
8361493,TXFH7,341,947,242,923
8361993,TXFH7,345,957,242,926
8362493,TXFH7,349,968,244,931
8362993,TXFH7,351,970,246,934
8363493,TXFH7,352,982,246,935
8363993,TXFH7,354,986,247,936
8364493,TXFH7,356,994,248,937
8364993,TXFH7,358,996,251,941
8365493,TXFH7,363,1001,250,940
8365993,TXFH7,365,1004,251,943
8370493,TXFH7,369,1008,253,947
8370993,TXFH7,374,1019,254,949
8371493,TXFH7,376,1021,254,949
8371993,TXFH7,379,1024,255,948
8372493,TXFH7,385,1041,256,949
8372993,TXFH7,391,1096,255,948
8373493,TXFH7,397,1102,256,950
8373993,TXFH7,405,1114,255,949
8374493,TXFH7,411,1124,256,950
8374993,TXFH7,415,1138,256,950
8375493,TXFH7,417,1159,260,963
8375993,TXFH7,422,1165,261,959
8380493,TXFH7,421,1164,264,991
8380993,TXFH7,434,1178,263,970
8381493,TXFH7,445,1191,263,970
8381993,TXFH7,455,1213,264,972
8382493,TXFH7,460,1218,264,972
8382993,TXFH7,469,1234,264,972
8383493,TXFH7,479,1261,265,1028
8383993,TXFH7,485,1267,266,1027
8384493,TXFH7,489,1280,270,1033
8384993,TXFH7,491,1273,272,1035
8385493,TXFH7,493,1277,271,1034
8385993,TXFH7,493,1279,275,1050
8390493,TXFH7,499,1410,270,1032
8390993,TXFH7,503,1421,284,1074
8391493,TXFH7,506,1426,286,1080
8391993,TXFH7,514,1435,286,1076
8392493,TXFH7,508,1433,285,1066
8392993,TXFH7,513,1464,289,1080
8393493,TXFH7,515,1459,289,1080
8393993,TXFH7,521,1572,289,1080
8394493,TXFH7,526,1581,288,1078
8394993,TXFH7,530,1587,288,1078
8395493,TXFH7,535,1597,288,1078
8395993,TXFH7,543,1671,291,1085
8400493,TXFH7,550,1679,293,1088
8400993,TXFH7,551,1679,293,1086
8401493,TXFH7,554,1683,293,1085
8401993,TXFH7,556,1678,292,1073
8402493,TXFH7,562,1690,290,1065
8402993,TXFH7,566,1694,291,1066
8403493,TXFH7,576,1710,294,1077
8403993,TXFH7,579,1714,295,1078
8404493,TXFH7,582,1723,296,1083
8404993,TXFH7,591,1746,298,1088
8405493,TXFH7,592,1756,302,1102
8405993,TXFH7,596,1760,303,1104
8410493,TXFH7,597,1762,303,1104
8410993,TXFH7,602,1768,306,1111
8411493,TXFH7,604,1774,308,1146
8411993,TXFH7,607,1780,308,1118
8412493,TXFH7,610,1778,307,1117
8412993,TXFH7,610,1779,312,1123
8413493,TXFH7,612,1781,312,1123
8413993,TXFH7,616,1785,311,1122
8414493,TXFH7,622,1799,316,1135
8414993,TXFH7,627,1816,320,1150
8415493,TXFH7,634,1827,323,1154
8415993,TXFH7,642,1836,325,1157
8420493,TXFH7,649,1844,327,1159
8420993,TXFH7,656,1861,329,1162
8421493,TXFH7,659,1881,330,1162
8421993,TXFH7,660,1889,334,1166
8422493,TXFH7,665,1905,335,1167
8422993,TXFH7,668,1911,337,1169
8423493,TXFH7,674,1924,342,1174
8423993,TXFH7,681,1952,345,1177
8424493,TXFH7,680,1951,343,1175
8424993,TXFH7,692,1981,344,1176
8425493,TXFH7,704,2005,344,1183
8425993,TXFH7,711,2021,342,1103
8430493,TXFH7,719,2043,346,1121
8430993,TXFH7,727,2063,347,1133
8431493,TXFH7,737,2076,350,1141
8431993,TXFH7,750,2127,351,1142
8432493,TXFH7,765,2150,352,1143
8432993,TXFH7,808,2199,358,1149
8433493,TXFH7,822,2226,360,1151
8433993,TXFH7,865,2272,370,1164
8434493,TXFH7,878,2294,381,1204
8434993,TXFH7,886,2318,385,1211
8435493,TXFH7,896,2346,428,1272
8435993,TXFH7,910,2367,435,1294
8440493,TXFH7,923,2395,464,1332
8440993,TXFH7,940,2423,473,1346
8441493,TXFH7,955,2450,479,1353
8441993,TXFH7,980,2508,482,1356
8442493,TXFH7,991,2520,490,1371
8442993,TXFH7,1034,2569,500,1389
8443493,TXFH7,1062,2647,513,1404
8443993,TXFH7,1091,2704,533,1453
8444493,TXFH7,1121,2770,541,1466
8444993,TXFH7,1153,2823,559,1524
8445493,TXFH7,1195,2943,579,1578
8445993,TXFH7,1282,3343,620,1631
8450493,TXFH7,1542,5120,880,2710
8450993,TXFH7,1587,5293,988,3008
8451493,TXFH7,1673,5564,1011,3023
8451993,TXFH7,1755,5749,1098,3153
8452493,TXFH7,1824,5935,1155,3259
8452993,TXFH7,1847,5949,1254,3479
8453493,TXFH7,1875,5985,1334,3659
8453993,TXFH7,1895,6025,1393,3777
8454493,TXFH7,1923,6100,1442,3880
8454993,TXFH7,1965,6228,1505,4038
8455493,TXFH7,2004,6312,1542,4096
8455993,TXFH7,2048,6380,1560,4109
8460493,TXFH7,2082,6194,1589,4062
8460993,TXFH7,2105,6156,1627,4128
8461493,TXFH7,2136,6202,1725,4654
8461993,TXFH7,2156,6310,1751,4675
8462493,TXFH7,2188,6464,1794,4737
8462993,TXFH7,2195,6446,1848,4839
8463493,TXFH7,2216,6559,1866,4859
8463993,TXFH7,2224,6689,1890,4895
8464493,TXFH7,2237,6727,1920,4935
8464993,TXFH7,2260,6789,1926,4969
8465493,TXFH7,2273,6842,1961,5065
8465993,TXFH7,2286,6872,1982,5143
8470493,TXFH7,2329,6981,2010,5235
8470993,TXFH7,2351,7008,2047,5395
8471493,TXFH7,2361,7157,2075,5439
8471993,TXFH7,2375,7185,2074,5449
8472493,TXFH7,2398,7311,2093,5482
8472993,TXFH7,2436,7428,2148,5557
8473493,TXFH7,2473,7515,2189,5664
8473993,TXFH7,2482,7534,2214,5691
8474493,TXFH7,2494,7556,2230,5729
8474993,TXFH7,2495,7550,2245,5754
8475493,TXFH7,2508,7570,2258,5783
8475993,TXFH7,2511,7561,2330,6037
8480493,TXFH7,2518,7594,2389,6273
8480993,TXFH7,2569,7687,2432,6361
8481493,TXFH7,2580,7711,2445,6336
8481993,TXFH7,2593,7775,2491,6534
8482493,TXFH7,2612,7808,2553,6653
8482993,TXFH7,2627,7859,2598,6732
8483493,TXFH7,2700,7978,2622,6771
8483993,TXFH7,2744,8062,2666,7119
8484493,TXFH7,2763,8108,2705,6934
8484993,TXFH7,2781,8204,2742,6987
8485493,TXFH7,2809,8235,2733,6987
8485993,TXFH7,2803,8268,2765,7034
8490493,TXFH7,2803,8252,2790,7084
8490993,TXFH7,2821,8272,2846,7171
8491493,TXFH7,2843,8317,2880,7232
8491993,TXFH7,2857,8329,2923,7297
8492493,TXFH7,2890,8535,2950,7355
8492993,TXFH7,2911,8617,2981,7409
8493493,TXFH7,2933,8656,3006,7352
8493993,TXFH7,2963,8707,3018,7367
8494493,TXFH7,2992,8758,3033,7406
8494993,TXFH7,2997,8756,3051,7448
8495493,TXFH7,3019,8793,3068,7468
8495993,TXFH7,3013,8826,3108,7565
8500493,TXFH7,3037,8874,3154,7632
8500993,TXFH7,3106,9033,3178,7699
8501493,TXFH7,3165,9146,3201,7764
8501993,TXFH7,3182,9123,3218,7809
8502493,TXFH7,3194,9141,3228,7829
8502993,TXFH7,3245,9285,3235,7836
8503493,TXFH7,3280,9372,3246,7857
8503993,TXFH7,3365,9622,3248,7864
8504493,TXFH7,3411,9732,3252,7880
8504993,TXFH7,3457,9892,3270,7946
8505493,TXFH7,3459,9838,3283,7966
8505993,TXFH7,3486,9883,3302,8000
8510493,TXFH7,3498,9884,3316,7999
8510993,TXFH7,3563,9990,3324,8028
8511493,TXFH7,3572,9999,3371,8143
8511993,TXFH7,3633,10094,3390,8176
8512493,TXFH7,3660,10123,3418,8236
8512993,TXFH7,3676,10145,3437,8270
8513493,TXFH7,3692,10181,3443,8269
8513993,TXFH7,3676,10164,3464,8301
8514493,TXFH7,3688,10230,3471,8308
8514993,TXFH7,3700,10272,3485,8324
8515493,TXFH7,3712,10290,3490,8327
8515993,TXFH7,3708,10396,3555,8475
8520493,TXFH7,3717,10410,3568,8509
8520993,TXFH7,3726,10447,3587,8522
8521493,TXFH7,3734,10470,3599,8528
8521993,TXFH7,3738,10469,3613,8569
8522493,TXFH7,3741,10473,3639,8609
8522993,TXFH7,3748,10485,3655,8637
8523493,TXFH7,3752,10522,3670,8662
8523993,TXFH7,3755,10513,3700,8710
8524493,TXFH7,3762,10536,3725,8749
8524993,TXFH7,3784,10596,3728,8754
8525493,TXFH7,3807,10652,3735,8762
8525993,TXFH7,3813,10647,3742,8773
8530493,TXFH7,3828,10672,3753,8786
8530993,TXFH7,3858,10732,3752,8785
8531493,TXFH7,3874,10739,3750,8786
8531993,TXFH7,3870,10740,3754,8758
8532493,TXFH7,3870,10740,3778,8819
8532993,TXFH7,3882,10776,3786,8843
8533493,TXFH7,3883,10787,3791,8861
8533993,TXFH7,3888,10803,3795,8876
8534493,TXFH7,3888,10810,3809,8913
8534993,TXFH7,3881,10847,3845,9091
8535493,TXFH7,3880,10854,3844,8977
8535993,TXFH7,3892,10900,3876,9020
8540493,TXFH7,3894,10918,3915,9067
8540993,TXFH7,3911,10946,3917,9068
8541493,TXFH7,3933,10988,3922,9074
8541993,TXFH7,3973,11066,3917,9077
8542493,TXFH7,3967,11054,3933,9101
8542993,TXFH7,3979,11126,3943,9265
8543493,TXFH7,3987,11138,3950,9278
8543993,TXFH7,3983,11124,3987,9405
8544493,TXFH7,3997,11134,4031,9517
8544993,TXFH7,4006,11156,4074,9596
8545493,TXFH7,4032,11224,4128,9718
8545993,TXFH7,4058,11272,4154,9759
8550493,TXFH7,4174,11495,4123,9710
8550993,TXFH7,4233,11600,4142,9765
8551493,TXFH7,4287,11703,4154,9804
8551993,TXFH7,4282,11639,4187,9850
8552493,TXFH7,4281,11625,4206,9880
8552993,TXFH7,4281,11618,4216,9909
8553493,TXFH7,4298,11641,4217,9915
8553993,TXFH7,4342,11748,4213,9919
8554493,TXFH7,4350,11753,4219,9927
8554993,TXFH7,4367,11812,4223,9930
8555493,TXFH7,4361,11812,4239,9951
8555993,TXFH7,4379,11885,4248,9961
8560493,TXFH7,4377,11890,4279,10023
8560993,TXFH7,4391,11921,4285,10028
8561493,TXFH7,4403,11962,4294,10037
8561993,TXFH7,4409,11970,4297,10076
8562493,TXFH7,4414,11976,4301,10167
8562993,TXFH7,4420,11982,4302,10061
8563493,TXFH7,4411,11969,4320,10092
8563993,TXFH7,4409,11970,4330,10121
8564493,TXFH7,4422,12006,4329,10119
8564993,TXFH7,4417,11997,4347,10142
8565493,TXFH7,4412,11982,4376,10239
8565993,TXFH7,4420,11986,4384,10271
8570493,TXFH7,4432,12002,4407,10307
8570993,TXFH7,4441,12031,4413,10316
8571493,TXFH7,4464,12061,4407,10307
8571993,TXFH7,4488,12097,4410,10315
8572493,TXFH7,4495,12108,4421,10334
8572993,TXFH7,4503,12160,4428,10345
8573493,TXFH7,4508,12169,4432,10355
8573993,TXFH7,4515,12196,4436,10367
8574493,TXFH7,4519,12219,4434,10357
8574993,TXFH7,4516,12215,4450,10393
8575493,TXFH7,4526,12286,4456,10394
8575993,TXFH7,4531,12291,4460,10400
8580493,TXFH7,4535,12295,4465,10409
8580993,TXFH7,4534,12287,4501,10506
8581493,TXFH7,4532,12289,4513,10533
8581993,TXFH7,4527,12277,4543,10572
8582493,TXFH7,4535,12349,4542,10566
8582993,TXFH7,4559,12404,4542,10563
8583493,TXFH7,4551,12389,4558,10604
8583993,TXFH7,4563,12409,4557,10595
8584493,TXFH7,4575,12422,4566,10614
8584993,TXFH7,4574,12477,4568,10618
8585493,TXFH7,4595,12512,4570,10620
8585993,TXFH7,4618,12590,4568,10667
8590493,TXFH7,4623,12594,4581,10689
8590993,TXFH7,4632,12621,4579,10681
8591493,TXFH7,4675,12818,4577,10776
8591993,TXFH7,4703,12879,4592,10813
8592493,TXFH7,4717,12906,4604,10811
8592993,TXFH7,4715,12888,4631,10866
8593493,TXFH7,4733,12917,4638,10886
8593993,TXFH7,4752,12972,4640,10893
8594493,TXFH7,4786,13033,4645,10919
8594993,TXFH7,4847,13193,4651,10935
8595493,TXFH7,4859,13199,4661,10953
8595993,TXFH7,4842,13172,4695,11005
9000493,TXFH7,4917,13394,4728,11074
9000993,TXFH7,5001,13599,4778,11152
9001493,TXFH7,5059,13706,4804,11204
9001993,TXFH7,5075,13719,4838,11263
9002493,TXFH7,5108,13736,4916,11408
9002993,TXFH7,5131,13777,4944,11461
9003493,TXFH7,5142,13806,5030,11638
9003993,TXFH7,5143,13797,5124,11776
9004493,TXFH7,5216,13960,5255,12070
9004993,TXFH7,5289,14119,5284,12130
9005493,TXFH7,5381,14226,5304,12146
9005993,TXFH7,5399,14260,5351,12234
9010493,TXFH7,5452,14346,5330,12200
9010993,TXFH7,5480,14392,5353,12257
9011493,TXFH7,5526,14491,5362,12260
9011993,TXFH7,5577,14683,5387,12303
9012493,TXFH7,5611,14744,5402,12342
9012993,TXFH7,5676,14940,5456,12428
9013493,TXFH7,5698,14984,5493,12472
9013993,TXFH7,5734,15052,5525,12578
9014493,TXFH7,5804,15273,5519,12568
9014993,TXFH7,5906,15555,5542,12605
9015493,TXFH7,5955,15715,5686,12915
9015993,TXFH7,6021,15903,5715,13164
9020493,TXFH7,6089,16048,5749,13054
9020993,TXFH7,6191,16268,5861,13490
9021493,TXFH7,6204,16288,5940,13443
9021993,TXFH7,6229,16328,5999,13534
9022493,TXFH7,6235,16344,6036,13584
9022993,TXFH7,6261,16367,6103,13707
9023493,TXFH7,6292,16389,6124,13764
9023993,TXFH7,6309,16478,6131,13772
9024493,TXFH7,6362,16582,6151,13811
9024993,TXFH7,6369,16594,6180,13854
9025493,TXFH7,6386,16645,6194,13871
9025993,TXFH7,6422,16738,6233,13951
9030493,TXFH7,6474,16809,6266,14020
9030993,TXFH7,6497,16858,6277,14048
9031493,TXFH7,6492,16849,6319,14150
9031993,TXFH7,6505,16925,6330,14185
9032493,TXFH7,6511,16938,6353,14243
9032993,TXFH7,6516,16957,6368,14279
9033493,TXFH7,6528,16974,6389,14307
9033993,TXFH7,6517,17047,6420,14355
9034493,TXFH7,6527,17068,6448,14406
9034993,TXFH7,6537,17094,6458,14428
9035493,TXFH7,6543,17099,6478,14465
9035993,TXFH7,6541,17088,6506,14491
9040493,TXFH7,6549,17100,6513,14508
9040993,TXFH7,6573,17129,6522,14529
9041493,TXFH7,6643,17275,6516,14610
9041993,TXFH7,6664,17328,6517,14899
9042493,TXFH7,6662,17316,6533,14930
9042993,TXFH7,6665,17313,6558,15010
9043493,TXFH7,6645,17254,6643,15151
9043993,TXFH7,6730,17385,6660,15204
9044493,TXFH7,6761,17448,6674,15222
9044993,TXFH7,6806,17558,6677,15237
9045493,TXFH7,6817,17593,6702,15280
9045993,TXFH7,6830,17614,6743,15351
9050493,TXFH7,6840,17614,6800,15438
9050993,TXFH7,6852,17618,6869,15567
9051493,TXFH7,6909,17736,6899,15653
9051993,TXFH7,6949,17840,6919,15678
9052493,TXFH7,6972,17928,6935,15942
9052993,TXFH7,7091,18182,6937,15707
9053493,TXFH7,7102,18184,6963,15737
9053993,TXFH7,7105,18172,6987,15784
9054493,TXFH7,7110,18180,7001,15807
9054993,TXFH7,7103,18155,7055,15904
9055493,TXFH7,7117,18196,7061,15935
9055993,TXFH7,7119,18207,7070,15945
9060493,TXFH7,7145,18261,7085,15972
9060993,TXFH7,7141,18272,7105,16002
9061493,TXFH7,7159,18324,7110,16001
9061993,TXFH7,7172,18346,7116,15971
9062493,TXFH7,7168,18329,7157,16122
9062993,TXFH7,7163,18317,7189,16142
9063493,TXFH7,7219,18441,7159,16070
9063993,TXFH7,7216,18436,7185,16139
9064493,TXFH7,7242,18479,7204,16185
9064993,TXFH7,7264,18634,7222,16201
9065493,TXFH7,7263,18614,7244,16238
9065993,TXFH7,7262,18624,7267,16259
9070493,TXFH7,7261,18624,7300,16364
9070993,TXFH7,7266,18647,7360,16484
9071493,TXFH7,7274,18659,7409,16567
9071993,TXFH7,7342,18836,7399,16575
9072493,TXFH7,7389,18963,7408,16589
9072993,TXFH7,7401,18953,7432,16647
9073493,TXFH7,7432,19000,7423,16629
